recorded;RADON_SHORT_TERM_AVG Bq/m3;TEMP °C;HUMIDITY %;PRESSURE hPa;CO2 ppm;VOC ppb
2022-09-22T10:10:33;;25.61;47.50;986.00;547.00;46.00
2022-09-22T10:15:33;;25.50;48.00;986.00;578.00;46.00
2022-09-22T10:20:33;;25.46;47.50;986.00;589.00;46.00
2022-09-22T10:25:33;;25.42;47.00;986.00;580.00;46.00
2022-09-22T10:30:33;;25.43;47.50;986.00;579.00;46.00
2022-09-22T10:35:33;;25.47;47.50;986.00;593.00;46.00
2022-09-22T10:40:33;;25.51;47.00;986.00;594.00;46.00
2022-09-22T10:45:33;;25.53;47.00;986.00;587.00;46.00
2022-09-22T10:50:33;;25.57;47.50;986.00;592.00;46.00
2022-09-22T10:55:33;;25.61;47.00;986.00;580.00;46.00
2022-09-22T11:00:33;;25.83;48.00;986.00;580.00;46.00
2022-09-22T11:05:33;;26.00;47.00;986.00;572.00;46.00
2022-09-22T11:10:33;;25.85;46.50;986.00;557.00;46.00
2022-09-22T11:15:33;;25.71;46.00;986.00;541.00;46.00
2022-09-22T11:20:33;;25.64;46.50;986.00;541.00;46.00
2022-09-22T11:25:33;;25.65;46.50;986.00;539.00;46.00
2022-09-22T11:30:33;;25.68;46.50;986.00;536.00;46.00
2022-09-22T11:35:33;;25.62;46.50;986.00;534.00;46.00
2022-09-22T11:40:33;;25.66;46.50;986.00;530.00;46.00
2022-09-22T11:45:33;;25.68;46.50;986.00;534.00;46.00
2022-09-22T11:50:33;;25.61;46.50;986.00;541.00;46.00
2022-09-22T11:55:33;;25.58;47.00;986.00;537.00;46.00
2022-09-22T12:00:33;30.00;25.62;46.50;986.00;513.00;46.00
2022-09-22T12:05:33;;25.68;46.50;986.00;500.00;46.00
2022-09-22T12:10:33;;25.72;47.00;986.00;506.00;46.00
2022-09-22T12:15:33;;25.66;47.00;986.00;511.00;46.00
2022-09-22T12:20:33;;25.62;47.00;986.00;522.00;46.00
2022-09-22T12:25:33;;25.68;47.00;986.00;525.00;46.00
2022-09-22T12:30:33;;25.73;47.50;986.00;517.00;46.00
2022-09-22T12:35:33;;25.78;47.50;986.00;514.00;46.00
2022-09-22T12:40:33;;25.82;47.50;986.00;508.00;56.00
2022-09-22T12:45:33;;25.84;47.50;986.00;504.00;46.00
2022-09-22T12:50:33;;25.87;48.00;986.00;495.00;46.00
2022-09-22T12:55:33;;25.88;48.00;986.00;484.00;46.00
2022-09-22T13:00:33;73.00;25.90;48.00;986.00;482.00;46.00
2022-09-22T13:05:33;;25.92;48.00;986.00;496.00;46.00
2022-09-22T13:10:33;;25.94;48.00;986.00;527.00;46.00
2022-09-22T13:15:33;;25.96;48.00;986.00;542.00;46.00
2022-09-22T13:20:33;;25.98;47.50;985.00;535.00;46.00
2022-09-22T13:25:33;;26.01;47.50;985.00;525.00;46.00
2022-09-22T13:30:33;;26.06;47.50;985.00;519.00;46.00
2022-09-22T13:35:33;;26.09;47.50;985.00;525.00;46.00
2022-09-22T13:40:33;;26.10;47.50;985.00;525.00;46.00
2022-09-22T13:45:33;;26.15;69.50;985.00;744.00;0.00
2022-09-22T13:50:33;;26.70;48.50;985.00;731.00;106.00
2022-09-22T13:55:33;;26.62;47.50;985.00;666.00;116.00
2022-09-22T14:00:33;66.00;26.48;47.00;985.00;611.00;105.00
2022-09-22T14:05:33;;26.33;47.00;985.00;574.00;101.00
2022-09-22T14:10:33;;26.79;47.00;985.00;574.00;88.00
2022-09-22T14:15:33;;26.72;47.00;985.00;578.00;80.00
2022-09-22T14:20:33;;26.51;47.00;985.00;556.00;82.00
2022-09-22T14:25:33;;26.38;47.00;985.00;529.00;61.00
2022-09-22T14:30:33;;26.36;47.00;985.00;512.00;56.00
2022-09-22T14:35:33;;26.30;47.00;985.00;500.00;46.00
2022-09-22T14:40:33;;26.33;47.00;985.00;484.00;46.00
2022-09-22T14:45:33;;26.36;47.00;985.00;474.00;46.00
2022-09-22T14:50:33;;26.38;47.00;985.00;464.00;46.00
2022-09-22T14:55:33;;26.36;47.00;985.00;458.00;46.00
2022-09-22T15:00:33;83.00;26.38;47.00;985.00;462.00;46.00
2022-09-22T15:05:33;;26.40;47.00;985.00;475.00;46.00
2022-09-22T15:10:33;;26.40;47.00;985.00;488.00;46.00
2022-09-22T15:15:33;;26.40;47.00;985.00;501.00;46.00
2022-09-22T15:20:33;;26.35;47.00;985.00;506.00;46.00
2022-09-22T15:25:33;;26.39;47.00;985.00;509.00;46.00
2022-09-22T15:30:33;;26.39;47.00;985.00;498.00;54.00
2022-09-22T15:35:33;;26.44;47.00;985.00;491.00;46.00
2022-09-22T15:40:33;;26.46;47.50;985.00;489.00;46.00
2022-09-22T15:45:33;;26.43;47.50;985.00;493.00;48.00
